Date,Open,High,Low,Close,Volume
2001-06-01,148.75,151.00,148.00,148.00,76833
2001-06-04,148.50,150.50,148.00,148.21,266125
2001-06-05,147.75,149.25,147.00,147.75,44295
2001-06-06,147.66,149.25,147.66,148.50,115211
2001-06-07,149.50,151.00,148.00,148.00,2079732
2001-06-08,150.00,150.00,148.00,149.50,957765
2001-06-11,151.00,153.00,148.00,152.00,2484478
2001-06-12,153.00,154.00,150.00,153.50,2629101
2001-06-13,153.50,156.00,153.00,155.50,239851
2001-06-14,154.00,155.00,152.00,153.00,3617430
2001-06-15,153.50,155.00,153.00,154.00,602074
2001-06-18,157.00,159.00,157.00,159.00,963894
2001-06-19,160.00,162.00,159.00,161.00,1526670
2001-06-20,161.00,161.00,160.00,161.00,193845
2001-06-21,161.00,161.00,160.00,160.35,133760
2001-06-22,160.00,161.50,160.00,161.50,236668
2001-06-25,160.00,161.00,159.00,159.97,2513366
2001-06-26,159.00,160.00,158.00,159.00,87384
2001-06-27,159.50,160.00,158.00,159.00,3667985
2001-06-28,158.35,159.12,157.00,157.00,2175376
2001-06-29,157.75,159.00,157.00,158.50,354807
2001-07-02,160.22,163.00,157.25,159.82,4887656
2001-07-03,162.78,168.00,162.00,167.50,7056068
2001-07-04,167.00,171.00,162.00,166.00,609847
2001-07-05,165.48,165.48,159.00,160.00,464196
2001-07-06,159.00,161.00,155.00,155.00,696374
2001-07-09,159.25,159.25,150.00,153.00,950321
2001-07-10,157.00,157.25,154.00,155.50,87928
2001-07-11,153.00,175.00,150.75,150.75,698159
2001-07-12,153.50,161.90,153.50,160.00,2300513
2001-07-13,160.00,162.22,157.78,159.50,2378839
2001-07-16,159.00,162.00,158.00,158.00,74340
2001-07-17,160.00,160.00,154.98,160.00,1490659
2001-07-18,160.00,162.00,159.00,160.00,1100903
2001-07-19,171.00,172.00,165.00,165.50,1037757
2001-07-20,168.75,168.75,161.00,162.15,2100646
2001-07-23,168.00,168.00,159.50,162.00,932315
2001-07-24,164.00,166.00,160.00,164.50,1806846
2001-07-25,166.50,176.00,165.00,169.25,7086985
2001-07-26,167.00,172.25,165.75,172.00,1244420
2001-07-30,170.00,174.00,169.75,171.96,576116
2001-07-31,173.00,180.00,170.00,174.86,1952611
2001-08-01,180.00,180.50,169.00,174.50,3808664
2001-08-02,168.00,179.00,168.00,177.40,2216064
2001-08-03,175.00,179.00,166.00,168.00,9305738
2001-08-06,171.50,171.50,167.00,168.54,2782330
2001-08-07,168.25,172.00,167.00,170.00,6921337
2001-08-08,169.00,172.25,169.00,171.50,1207229
2001-08-09,171.75,173.50,170.00,171.65,3135351
2001-08-10,172.00,177.00,172.00,172.50,100269
2001-08-13,172.00,177.00,170.25,172.40,428433
2001-08-14,169.00,173.00,169.00,171.14,1008252
2001-08-15,171.00,171.00,168.25,169.48,394010
2001-08-17,170.50,171.75,166.25,169.00,1652338
2001-08-20,166.50,171.00,165.00,167.90,63692
2001-08-21,170.00,170.00,165.00,168.00,117313
2001-08-22,145.00,169.22,145.00,168.50,158477
2001-08-23,166.25,169.50,166.25,167.50,471879
2001-08-24,168.00,168.50,167.00,167.00,252585
2001-08-28,169.00,169.00,166.00,166.00,43238
2001-08-29,168.75,168.75,160.75,160.75,100463
2001-08-30,160.00,163.75,159.50,161.50,676740
2001-08-31,164.50,164.50,158.00,161.00,875627
2001-09-03,160.50,163.50,159.00,160.00,780075
2001-09-04,162.25,167.00,161.00,165.00,224015
2001-09-05,163.75,165.00,160.00,163.00,3019567
2001-09-06,162.75,164.00,162.00,162.00,3951902
2001-09-07,145.00,165.00,145.00,162.00,334322
2001-09-10,147.00,156.00,145.00,156.00,1280151
2001-09-17,142.00,148.00,142.00,147.50,592372
2001-09-18,148.00,148.00,141.00,145.00,78915
2001-09-19,145.00,146.22,133.50,133.50,2084376
2001-09-20,134.00,138.50,132.70,137.70,3734264
2001-09-21,132.00,132.00,120.00,127.00,2248357
2001-09-24,133.25,134.50,121.75,131.00,3105054
2001-09-25,133.00,135.00,128.00,133.25,1584049
2001-09-26,134.00,134.00,119.00,126.59,5656456
2001-09-27,127.50,132.25,126.00,132.05,301274
2001-09-28,133.00,140.21,130.00,140.21,730614
2001-10-01,147.00,147.00,135.00,135.00,157505
2001-10-02,138.00,138.00,128.00,132.25,177527
2001-10-04,133.75,137.00,132.10,137.00,293031
2001-10-05,138.32,148.00,135.00,144.50,513336
2001-10-08,147.50,147.50,141.00,141.00,674530
2001-10-09,137.50,144.00,137.50,140.15,285696
2001-10-11,143.00,145.00,140.60,144.50,423710
2001-10-12,143.75,147.00,142.00,142.28,731083
2001-10-15,146.00,154.00,141.50,149.00,1743349
2001-10-16,155.00,155.00,147.00,151.00,2113788
2001-10-17,148.00,150.00,141.00,143.35,4915825
2001-10-18,148.00,148.00,133.00,135.50,2448514
2001-10-19,137.00,139.25,130.00,132.50,480047
2001-10-22,127.70,136.50,127.70,135.25,62667
2001-10-23,136.81,142.00,133.25,137.80,637405
2001-10-24,140.00,141.00,135.00,135.50,4865350
2001-10-25,136.30,137.00,133.00,133.50,330047
2001-10-26,135.00,135.50,130.50,131.69,1367509
2001-10-29,133.75,134.00,131.00,131.50,632989
2001-10-30,131.25,132.00,127.00,130.00,433351
